epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.372,1.03042,7.48054,0.95209,0,0,0,0,0.72696,inf,0.86384,0.00332877,0.00332877,0.00332877
2,502.842,0.90444,7.29595,0.85472,0.0059,0.0001,0.0001,9e-05,0.72915,inf,0.84712,0.00664012,0.00664012,0.00664012
3,749.117,0.95875,7.16863,0.84933,0.00053,0.00147,0.0004,0.00034,0.7109,inf,0.83853,0.00992947,0.00992947,0.00992947
4,995.884,0.92837,6.88374,0.84412,0.00046,0.0034,0.00077,0.00065,0.70347,inf,0.83274,0.009901,0.009901,0.009901
5,1279.75,0.87075,6.34855,0.83751,0.00791,0.00531,0.0015,0.00127,0.64945,5.71912,0.82841,0.009868,0.009868,0.009868
6,1564.32,0.81415,5.73943,0.83507,0.00128,0.00723,0.00208,0.00179,0.58104,5.10431,0.81154,0.009835,0.009835,0.009835
7,1855.32,0.76744,5.12618,0.8338,0.00182,0.00987,0.00294,0.00255,0.56811,4.5617,0.81273,0.009802,0.009802,0.009802
8,2145.7,0.74068,4.68992,0.83422,0.03077,0.00888,0.00406,0.00355,0.5336,4.19495,0.80811,0.009769,0.009769,0.009769
9,2435.5,0.71676,4.38922,0.83221,0.00932,0.01656,0.00696,0.00606,0.55191,3.88593,0.80971,0.009736,0.009736,0.009736
10,2725.27,0.70184,4.15173,0.83034,0.00668,0.02085,0.00986,0.00882,0.49693,3.71311,0.80158,0.009703,0.009703,0.009703
11,3014.13,0.68458,3.98264,0.8284,0.04788,0.02038,0.01373,0.01235,0.47592,3.52717,0.79803,0.00967,0.00967,0.00967
12,3302.92,0.67326,3.86862,0.82505,0.02164,0.02819,0.01707,0.01527,0.49144,3.43853,0.80002,0.009637,0.009637,0.009637
13,3592.47,0.65792,3.74138,0.82276,0.01839,0.03469,0.02139,0.01937,0.47735,3.3876,0.79857,0.009604,0.009604,0.009604
14,3881.21,0.64161,3.62617,0.823,0.05717,0.03494,0.02736,0.02455,0.48044,3.20043,0.79704,0.009571,0.009571,0.009571
15,4170.89,0.64137,3.54077,0.82189,0.05256,0.04237,0.03271,0.02986,0.45025,3.10008,0.79319,0.009538,0.009538,0.009538
16,4460.59,0.62685,3.43046,0.82043,0.07777,0.04279,0.03895,0.03549,0.4731,3.00903,0.79504,0.009505,0.009505,0.009505
17,4749.87,0.63148,3.38857,0.8191,0.09452,0.0468,0.04475,0.04072,0.46997,2.96295,0.79357,0.009472,0.009472,0.009472
18,5038.92,0.61569,3.30335,0.81801,0.10859,0.05008,0.05079,0.04662,0.44117,2.85083,0.79094,0.009439,0.009439,0.009439
19,5327.31,0.60784,3.20464,0.81716,0.11217,0.05659,0.0562,0.05129,0.46004,2.80672,0.79169,0.009406,0.009406,0.009406
20,5616.58,0.60707,3.14851,0.81507,0.11705,0.06042,0.06154,0.0566,0.44175,2.73006,0.79094,0.009373,0.009373,0.009373
21,5905.51,0.60201,3.07965,0.81678,0.11972,0.06908,0.06732,0.06147,0.46452,2.70798,0.79363,0.00934,0.00934,0.00934
22,6194.7,0.59785,3.02996,0.81471,0.12913,0.07289,0.07571,0.06952,0.449,2.60016,0.79043,0.009307,0.009307,0.009307
23,6483.76,0.59323,2.98483,0.81337,0.14532,0.0773,0.07986,0.07339,0.4458,2.55919,0.78968,0.009274,0.009274,0.009274
24,6773.26,0.59033,2.94633,0.81237,0.1412,0.08515,0.08805,0.08089,0.44981,2.49999,0.79077,0.009241,0.009241,0.009241
25,7063.28,0.58644,2.87928,0.81258,0.15784,0.08962,0.09475,0.08699,0.44695,2.45412,0.79089,0.009208,0.009208,0.009208
26,7353.98,0.58257,2.8214,0.81172,0.15046,0.09679,0.09858,0.09058,0.45565,2.40879,0.79134,0.009175,0.009175,0.009175
27,7642.94,0.57747,2.7857,0.81314,0.15804,0.10133,0.10634,0.09846,0.42733,2.41356,0.78742,0.009142,0.009142,0.009142
28,7933.69,0.58076,2.7507,0.81104,0.16643,0.10871,0.11303,0.10477,0.43094,2.30633,0.78827,0.009109,0.009109,0.009109
29,8223.57,0.57285,2.70742,0.81136,0.16857,0.11776,0.12195,0.11284,0.43557,2.26314,0.78874,0.009076,0.009076,0.009076
30,8512.3,0.56981,2.67371,0.80949,0.18167,0.12075,0.12569,0.11638,0.42807,2.27069,0.78825,0.009043,0.009043,0.009043
31,8801.72,0.56527,2.64271,0.80901,0.18594,0.12577,0.13281,0.12345,0.42338,2.21409,0.78636,0.00901,0.00901,0.00901
32,9090.8,0.56338,2.59282,0.81007,0.13811,0.1129,0.10361,0.09396,0.51169,2.54165,0.80064,0.008977,0.008977,0.008977
33,9379.81,0.56321,2.56445,0.81047,0.20583,0.13679,0.14531,0.13487,0.4227,2.14025,0.78661,0.008944,0.008944,0.008944
34,9669.39,0.56296,2.54013,0.8092,0.21536,0.14102,0.15027,0.1391,0.42855,2.10119,0.78685,0.008911,0.008911,0.008911
35,9959.25,0.55917,2.50053,0.80751,0.2162,0.14718,0.15341,0.142,0.43431,2.08169,0.78734,0.008878,0.008878,0.008878
36,10248.6,0.55804,2.46458,0.80862,0.23188,0.14989,0.16004,0.14899,0.41769,2.06254,0.78611,0.008845,0.008845,0.008845
37,10537.9,0.55244,2.44506,0.80773,0.22394,0.15676,0.16823,0.15657,0.41975,2.01936,0.78586,0.008812,0.008812,0.008812
38,10828.2,0.54986,2.41317,0.80799,0.23307,0.15924,0.17029,0.15836,0.42094,2.00661,0.78536,0.008779,0.008779,0.008779
39,11118.5,0.55213,2.39718,0.80828,0.24727,0.16697,0.17918,0.16685,0.41614,1.98969,0.78543,0.008746,0.008746,0.008746
40,11409,0.54636,2.39973,0.80712,0.25137,0.16874,0.18063,0.16822,0.41845,1.94987,0.78513,0.008713,0.008713,0.008713
41,11699.3,0.54909,2.35492,0.80845,0.26675,0.17011,0.18883,0.17582,0.41961,1.92808,0.78505,0.00868,0.00868,0.00868
42,11989.2,0.54627,2.32797,0.80658,0.26177,0.17525,0.19201,0.17859,0.42386,1.92796,0.78591,0.008647,0.008647,0.008647
43,12279.1,0.54289,2.26592,0.80632,0.27225,0.1834,0.19785,0.18469,0.41147,1.87647,0.7847,0.008614,0.008614,0.008614
44,12569.5,0.54388,2.29184,0.80575,0.2681,0.1872,0.20069,0.18755,0.41109,1.86607,0.78417,0.008581,0.008581,0.008581
45,12858.2,0.54605,2.30224,0.80706,0.27566,0.1918,0.20638,0.19259,0.41524,1.85983,0.78428,0.008548,0.008548,0.008548
46,13148,0.54552,2.26724,0.80616,0.27925,0.19579,0.20969,0.1956,0.41333,1.8347,0.78459,0.008515,0.008515,0.008515
47,13438.1,0.53803,2.23721,0.80543,0.27544,0.19885,0.21303,0.19865,0.41523,1.8195,0.78448,0.008482,0.008482,0.008482
48,13728.6,0.54177,2.23866,0.80584,0.2966,0.20029,0.21858,0.20386,0.4183,1.81256,0.78478,0.008449,0.008449,0.008449
49,14018.7,0.53717,2.19158,0.80577,0.29092,0.20627,0.22247,0.20728,0.41856,1.79923,0.78525,0.008416,0.008416,0.008416
50,14309.2,0.5372,2.16551,0.80523,0.30901,0.20566,0.22592,0.21064,0.41627,1.77767,0.78496,0.008383,0.008383,0.008383
51,14600,0.53376,2.16027,0.80435,0.29806,0.21447,0.23204,0.2161,0.42163,1.75309,0.78558,0.00835,0.00835,0.00835
52,14891,0.53492,2.13596,0.8047,0.31442,0.21818,0.23762,0.22211,0.4109,1.75102,0.78397,0.008317,0.008317,0.008317
53,15182.1,0.53529,2.15557,0.80512,0.32063,0.21971,0.24283,0.2274,0.41006,1.73346,0.78394,0.008284,0.008284,0.008284
54,15472.2,0.53396,2.14743,0.80519,0.30827,0.22734,0.24426,0.22854,0.41024,1.71865,0.78343,0.008251,0.008251,0.008251
55,15762.6,0.52905,2.1318,0.80402,0.31449,0.22818,0.24693,0.23038,0.41481,1.70854,0.78395,0.008218,0.008218,0.008218
56,16052.3,0.52985,2.1112,0.80361,0.31918,0.23314,0.25178,0.23555,0.41094,1.70205,0.78372,0.008185,0.008185,0.008185
57,16341.8,0.5357,2.08855,0.80503,0.33142,0.2316,0.25374,0.23733,0.41065,1.69955,0.78371,0.008152,0.008152,0.008152
58,16631.5,0.52985,2.07421,0.80545,0.33294,0.24011,0.26003,0.24304,0.41081,1.67581,0.78347,0.008119,0.008119,0.008119
59,16921.2,0.52561,2.03709,0.80457,0.34192,0.23737,0.25916,0.2425,0.41122,1.65538,0.78366,0.008086,0.008086,0.008086
60,17212.7,0.52902,2.05287,0.80342,0.34769,0.2458,0.2675,0.25038,0.40669,1.64567,0.78314,0.008053,0.008053,0.008053
61,17502.7,0.52351,2.04143,0.80454,0.34524,0.24752,0.27134,0.25373,0.41055,1.62523,0.78343,0.00802,0.00802,0.00802
62,17792.4,0.52865,2.03771,0.80377,0.34051,0.25183,0.26877,0.25129,0.41011,1.6275,0.78343,0.007987,0.007987,0.007987
63,18082.5,0.52485,2.01191,0.80324,0.35452,0.2507,0.27652,0.25888,0.40985,1.60112,0.7835,0.007954,0.007954,0.007954
64,18372.4,0.52356,2.00488,0.80358,0.35175,0.25609,0.27821,0.25954,0.41846,1.60681,0.78401,0.007921,0.007921,0.007921
65,18663.3,0.51946,2.01418,0.80368,0.35496,0.2583,0.27885,0.26104,0.40754,1.60746,0.78267,0.007888,0.007888,0.007888
66,18954.1,0.52526,2.00094,0.80273,0.36335,0.25593,0.28273,0.26462,0.40985,1.5972,0.78327,0.007855,0.007855,0.007855
67,19243.5,0.52055,1.98904,0.80292,0.36317,0.26026,0.28249,0.26435,0.40702,1.59137,0.78317,0.007822,0.007822,0.007822
68,19532.9,0.51785,1.9518,0.80262,0.36331,0.26415,0.28878,0.27004,0.41023,1.57498,0.78337,0.007789,0.007789,0.007789
69,19822.3,0.52301,1.953,0.80256,0.36223,0.27234,0.29252,0.27391,0.40751,1.57246,0.7827,0.007756,0.007756,0.007756
70,20111.2,0.51441,1.9439,0.802,0.37244,0.27051,0.29526,0.27689,0.40411,1.55119,0.78238,0.007723,0.007723,0.007723
71,20401.3,0.51726,1.95478,0.80348,0.37662,0.27281,0.29621,0.27732,0.40619,1.54477,0.78291,0.00769,0.00769,0.00769
72,20691,0.51862,1.93775,0.80268,0.36975,0.27677,0.29984,0.28107,0.40625,1.55062,0.78317,0.007657,0.007657,0.007657
73,20980.8,0.51682,1.92742,0.80301,0.37969,0.27798,0.30471,0.28554,0.4075,1.54075,0.78283,0.007624,0.007624,0.007624
74,21270.7,0.51383,1.90049,0.80112,0.38469,0.28371,0.31034,0.29087,0.40403,1.53234,0.78236,0.007591,0.007591,0.007591
